2,1,2,0.695,1,2022-01-29 08:23:00.523800
2,2,1,0.891,2,2022-01-29 08:23:00.523800
2,3, ,1.047,3,2022-01-29 08:23:00.523800
1,1,1,0.674,2,2022-01-29 08:26:25
1,2, ,0.652,1,2022-01-29 08:26:25
1,3, ,0.852,3,2022-01-29 08:26:25
